Epoch	block0_Baseline	block0_LCM	block1_Baseline	block1_LCM	block2_Baseline	block2_LCM	block3_Baseline	block3_LCM	block4_Baseline	block4_LCM	block5_Baseline	block5_LCM	block6_Baseline	block6_LCM	block7_Baseline	block7_LCM	block8_Baseline	block8_LCM	block9_Baseline	block9_LCM	block10_Baseline	block10_LCM	block11_Baseline	block11_LCM
110	1634.83	1344.90	1532.96	1322.80	1416.40	1247.09	1204.76	1107.53	974.42	936.91	729.86	735.01	463.84	486.44	255.30	296.50	160.02	232.66	135.13	250.64	128.77	313.04	189.99	379.14
111	1634.53	1345.98	1533.18	1323.92	1416.57	1247.43	1204.87	1108.60	974.39	937.48	729.78	735.80	463.62	488.05	254.87	295.77	159.68	230.49	134.86	248.86	128.61	311.33	189.75	378.93
112	1633.06	1350.08	1531.98	1327.15	1415.81	1249.62	1204.30	1110.78	973.99	937.64	729.39	737.03	463.35	488.63	255.12	295.27	159.94	231.50	135.43	250.01	129.35	308.17	190.55	379.54
113	1635.16	1349.64	1533.52	1329.09	1416.82	1249.70	1205.20	1111.76	974.80	938.01	730.19	737.44	464.14	488.29	255.40	297.32	160.09	231.53	135.44	250.49	129.27	312.13	190.19	380.01
114	1634.87	1355.20	1532.81	1329.51	1416.09	1251.61	1204.62	1113.38	974.46	938.42	729.60	737.39	463.42	488.87	254.77	297.20	159.62	232.17	134.92	249.85	128.88	310.29	189.99	380.60
115	1634.66	1355.04	1532.96	1328.29	1416.16	1250.20	1204.28	1112.62	974.18	938.72	729.73	737.65	463.93	487.10	255.30	295.74	159.86	231.00	135.04	248.71	128.62	308.51	189.58	380.74
116	1635.05	1351.93	1533.58	1331.70	1417.19	1253.50	1205.67	1115.23	975.16	940.37	730.26	738.81	464.01	488.26	255.24	297.15	159.84	232.71	134.84	250.78	128.19	310.29	189.36	381.92
117	1635.53	1350.61	1533.63	1333.97	1417.23	1254.88	1205.40	1115.48	974.87	940.58	730.19	739.35	463.96	487.34	255.53	294.65	160.19	230.11	135.52	248.58	129.16	300.08	190.22	380.74
118	1634.37	1360.62	1532.66	1334.53	1415.84	1255.32	1203.66	1116.50	973.41	941.88	728.82	740.29	462.97	487.13	254.82	296.03	159.59	233.04	135.02	250.50	128.53	310.57	189.59	381.93
119	1635.05	1363.09	1533.56	1336.77	1416.92	1258.24	1204.96	1118.44	974.29	942.57	729.53	738.70	463.57	487.48	254.60	296.20	159.32	232.72	134.69	250.26	128.54	308.11	189.53	381.36
120	1634.60	1363.74	1533.71	1340.68	1416.92	1259.77	1205.07	1119.79	974.83	944.46	730.28	741.30	464.22	489.86	255.64	297.15	159.96	234.12	135.09	252.52	128.72	306.54	189.64	382.30
121	1635.26	1359.71	1533.54	1342.42	1416.99	1262.36	1205.28	1122.12	974.59	945.70	729.86	742.29	463.87	491.68	255.24	299.05	160.01	235.28	135.22	252.43	129.24	305.14	190.40	383.07
122	1635.29	1361.63	1533.16	1340.60	1416.56	1261.86	1204.77	1121.21	974.42	945.32	729.64	741.68	463.56	491.60	254.90	297.72	160.04	232.46	135.62	249.72	129.54	308.97	190.56	385.07
123	1635.94	1363.71	1533.98	1344.71	1417.27	1262.25	1205.55	1122.37	975.17	947.54	730.62	742.87	464.31	492.53	255.70	298.47	160.13	234.13	135.41	251.31	129.53	309.08	190.69	385.67
124	1634.20	1370.90	1532.85	1346.78	1416.55	1264.38	1204.92	1122.48	974.58	947.28	730.18	743.31	463.82	492.23	255.24	298.21	159.67	235.24	134.89	252.09	128.73	309.81	189.87	386.91
